Titel;Relevanz;Timeline;Branche;Customer;Location;Salary/Rate;Category;Role;Team size;Budget;Tools;Knowledge;Situation;Tasks;Additional Work;Results;Challenges;Languages;Tags
"Entwicklung der App “myWork Zeiterfassung”
";5;2010 - Heute;Zeiterfassung;Eigenentwicklung;Remote;;App;Owner;1;Small;"Xcode, AppStore Connect, Photoshop, Pixelmator, Deepl, ChatGPT, Git, Jekyll
";Swift, Objective-C, SwiftUI, iCloud + CloudKit, CoreData, CoreLocations, UIKit + CoreGraphics;"Während meines Studiums der Softwaretechnik an der Universität Stuttgart erkannte ich die Notwendigkeit einer effizienten Lösung zur Zeiterfassung, da ich zeitgleich mehrere Nebenjobs hatte. Die Herausforderung bestand darin, eine benutzerfreundliche App zu entwickeln, die die manuelle Zeiterfassung ersetzte und so Zeit und Aufwand sparte.
";"In meiner Rolle als Entwickler und Projektleiter übernahm ich die vollständige Produktentwicklung:
Design und Benutzeroberfläche: Entwicklung einer intuitiven UI, die eine einfache und schnelle Zeiterfassung ermöglicht.
Systemarchitektur: Implementierung der App mit Objective-C und Xcode, unter Berücksichtigung von Best Practices für Performance und Sicherheit.
Tests und Qualitätssicherung: Durchführung umfassender Tests zur Sicherstellung der hohen Qualität und Zuverlässigkeit der App.
Marketing und Vertrieb: Strategische Vermarktung der App und Verwaltung des Vertriebs über Apples AppStore.
";"Neben der technischen Entwicklung war ich auch für die administrativen und rechtlichen Aspekte verantwortlich:
AppStore-Compliance: Sicherstellung der Einhaltung aller AppStore-Richtlinien und -Anforderungen.
Rechtliche Dokumentation: Erstellung von Lizenzvereinbarungen, AGBs und Datenschutzrichtlinien.
Webpräsenz: Aufbau und Pflege einer informativen Homepage zur Unterstützung der App-Nutzer.
Einrichtung der Support-Prozesse für Benutzeranfragen und Fehlerbehebung innerhalb von 24 Stunden.";"Die “myWork Zeiterfassung”-App wurde zu einem großen Erfolg:
Marktpräsenz: Über 250.000 Downloads und über 50.000 aktiven Nutzer.
Ranking: Regelmäßige Platzierungen in den Top 200 des Apple AppStore, zeitweise beliebter als Microsoft Office-Apps.
Kundennutzen: Die App erleichtert den Arbeitsalltag der Nutzer durch eine einfache und zuverlässige Zeiterfassung, spart Zeit und reduziert den Verwaltungsaufwand.
Langfristiger Nutzen: Die App ist bis heute aktiv und wird kontinuierlich weiterentwickelt.
Karriereförderung: Das Projekt diente als Sprungbrett für meine professionelle Karriere in der Softwareentwicklung und legte den Grundstein für mein umfassendes Verständnis von Produktentwicklung und -management.
Mehrfache Erwähnung in einschlägigen Magazinen wie ComputerBild, CT";;"German, 
English, 
Französisch";Zeiterfassung, iOS-Entwicklung, Mobile Apps, Objective-C, Swift, CloudKit, CoreData, Benutzererfahrung, Produktentwicklung, AppStore, Cloud Integration
Entwicklung und technische Projektleitung für mobile Apps - CGI;5;12/2012 – 08/2015;Automotive - Aftersales;Daimler AG (Mercedes Benz);Vor Ort;;App;Consulting, Mobile App Development;9;High;Xcode, Android Studio, Eclipse, Jenkins, Git, Appium, Jira, Confluence;Objective-C, Java, XML, Python,Testautomatisierung, Coaching, generative Softwareentwicklung, Scrum;In meiner Zeit bei CGI arbeitete ich von 12/2012 bis 08/2015 für die Daimler AG und am Firmensitz von CGI an einem umfangreichen Projekt im Bereich mobile Anwendungen. Die Tätigkeiten begannen mit der Entwicklung mobiler Applikationen und entwickelten sich mit zunehmender Verantwortung hin zur Rolle eines technischen Projektleiters. Ein zentraler Bestandteil war die Digitalisierung von Betriebsanleitungen und die internationale Verbreitung der Lösungen.;"Entwicklung mobiler Anwendungen und Systemarchitekturen.
Kundenberatung und Betreuung im Bereich Mobile Solutions.
Durchführung von Tests und Qualitätssicherung mobiler Anwendungen.
Entwicklung und Einführung von Testautomatisierung mit Appium.
Test- und Releasemanagement zur Sicherstellung von Funktionalität und Stabilität.
Schulung neuer Mitarbeiter in der Entwicklung mobiler Apps.
Generative Softwareentwicklung zur Effizienzsteigerung der Entwicklungsprozesse.
Einführung agiler Arbeitsmethoden und Zertifizierung zum Scrum Master.";"Einführung und Coaching zur Testautomatisierung mobiler Apps mit Appium im Unternehmen.
Entwicklung eines Python-Skripts zur Optimierung der Lokalisierung in 27 Sprachen, inklusive automatisierter Verarbeitung der Übersetzungen.
Schulung neuer Mitarbeiter im Bereich Mobile Development und Projektstandards.";"Entwicklung der App MBGuides:
Meistgeladene Apps von Mercedes Benz, Smart, Mercedes Benz Trucks und Vans.
Übersetzung in 27 Sprachen und internationaler Vertrieb.
Entwicklung einer Workbench zur Erstellung mobiler Betriebsanleitungen.
Maßgeblicher Beitrag zur internationalen Digitalisierung und Verbreitung mobiler Lösungen.";"Lokalisierung in arabische und hebräische Versionen aufgrund des Textflusses von rechts nach links.
Pflege und Skalierung der Sprachversionen, optimiert durch ein Python-Skript zur Automatisierung des Übersetzungsprozesses.
Inhaltscaching zur Bewältigung großer XML-Dateien und Inhalte der Betriebsanleitungen
Einführung agiler Arbeitsmethoden im Unternehmen und die Anpassung an neue Prozesse.";English;Automotive, Mobile Apps, Objective-C, Java, Python, Testautomatisierung, Scrum, Internationalisierung, AppStore, Nearshore-Management, Teamführung, agiles Arbeiten, Digitalisierung
Technische Projektleitung für MBGuides Version 2.0 - inloop GmbH;5;09/2015 – 03/2018;Automotive - Aftersales;Daimler AG (Mercedes Benz);Hybrid;;App;Solution Architect, Technical Project Management, Technical Lead;10;High;Git, Slack, PowerPoint, Scrum, CSS, JavaScript, Xcode, Android Studio, Jira, Confluence, ALM, Jenkins;Technische Konzeption, Nearshore, Mobile App Testing, HTML, CSS, JSON, Scrum ;Als technischer Projektleiter war ich für die Umsetzung der Version 2.0 der MBGuides App für iOS und Android sowie die Weiterentwicklung der Workbench zur inhaltlichen Pflege verantwortlich. Die Umsetzung erfolgte durch ein Nearshore-Team aus der Slowakei, das ich koordinierte.;"Technische Konzeption der gesamten Lösung (Apps und Workbench).
Kundenpräsentationen und Vertretung der technischen Lösung vor dem Auftraggeber.
Steuerung eines Nearshore-Teams, inklusive Kommunikation über Slack und Git.
Direkte Umsetzung neuer Features, insbesondere des „Smart Layouts“ in Zusammenarbeit mit der Design-Abteilung von Daimler.
Anpassung der HTML-Inhalte und Styling mit CSS und JavaScript.
Koordination von Scrum-Sprints und Qualitätssicherung.";"Beheben von Bugs in den Apps und HTML-Seiten, wenn nötig.
Intensive Workshops mit der Design-Abteilung für Layout-Optimierungen.
Erstellung von Präsentationen für das Management zur Abstimmung und Berichterstattung.";"Erfolgreiche Veröffentlichung der Version 2.0 der MBGuides App in den AppStores für iOS und Android.
Fertigstellung der Lösung innerhalb des vereinbarten Budgets, Zeitrahmens und mit hoher Qualität.
Steigerung der Nutzerzufriedenheit und positive Rückmeldungen vom Auftraggeber.";"Steuerung eines Nearshore-Teams über verschiedene Standorte hinweg.
Intensive Anpassungen im „Smart Layout“ zur Optimierung der Nutzererfahrung und Implementierung von Designanforderungen.";English;Automotive, Mobile Apps, Nearshore-Teamführung, Scrum, CSS, JavaScript, Nutzerzufriedenheit, AppStore, Technische Konzeption, Stakeholder-Management, HTML, App-Optimierung, Designintegration
Optimierung der Vormontageprozesse in der Fertigungslinie Mediums einer App;3;12/2015 – 11/2016;Maschinenbau;Kverneland;Hybrid;;App;Solution Architect, Project Manager, Technical Lead;6;Medium;Android Studio, Balsamiq Mockup, Java, JSP, git, Slack, Jira, Confluence PowerPoint, Visio;Java, MySQL, JSON, Prozessoptimierung, Mobile App Architektur, Nearshore-Teamsteuerung, Scrum;Die Fertigung von Landmaschinen bei Kverneland erfolgt über eine Hauptfertigungslinie mit mehreren Stationen und dazugehörigen Vormontagestationen. Um die Effizienz zu steigern, war eine Lösung erforderlich, die sicherstellt, dass die richtigen Teile zur richtigen Zeit an der Hauptmontagestation verfügbar sind. Gleichzeitig sollte die App die Produktionszeiten überwachen und den Arbeitern eine priorisierte Liste der benötigten Vormontagen einschließlich Zeitbudgets zur Verfügung stellen.;"Prozessaufnahme und konzeptionelle Optimierung der Vormontage durch die App.
Erarbeitung des Funktionsumfangs, der Benutzeroberfläche und des technischen Konzepts in Zusammenarbeit mit dem Kunden.
Leitung der Umsetzung durch ein Nearshore-Team unter Verwendung von Scrum.
Steuerung der Entwicklung und Qualitätssicherung.";"Unterstützung bei der WLAN-Ausleuchtung und Einbau eines lokalen Caches zur Sicherstellung der Datenverfügbarkeit in der Produktion.
Schulung der Mitarbeitenden bei dem Kunden vor Ort";"Erfolgreiche Produktivsetzung der Android-App in einer Produktionslinie nach intensiver Testphase.
Umsetzung innerhalb der vorgegebenen Zeit und des Budgets trotz technischer Herausforderungen.
Steigerung der Effizienz und Synchronisation zwischen Vormontage und Hauptmontage.";"Technische Schwierigkeiten durch unzureichende WLAN-Abdeckung, gelöst durch die Integration eines lokalen Caches.
Akzeptanz der neuen Applikation bei den Mitarbeitenden";"German,
English";Maschinenbau, Prozessoptimierung, Mobile Apps, Java, MySQL, Nearshore-Teamführung, Scrum, Produktion, Produktionssoftware, Android
Management von Ladungsträger und FörderhilfMedium;2;11/2016 - 03/2017;Logistik;Kverneland;Hybrid;;App;Solution Architect, Project Manager, Technical Lead;3;Small;Android Studio, Balsamiq Mockup, Java, git, Jira, Confluence, Slack;Technische Konzeption, Nearshore, UI/UX, Mobile App, PHP;Die korrekte Verwaltung von Ladungsträgern wie Paletten und Gitterboxen ist für Kverneland essenziell, da diese einem Pfandsystem unterliegen. Durch Lieferungen und Auslieferungen ändert sich der Bestand kontinuierlich, was zu Bestandsdifferenzen führen kann. Um dies zu vermeiden, soll eine Android-App entwickelt werden, die im Cockpit der Staplerfahrzeuge installiert wird. Sie soll eine einfache und exakte Erfassung von Be- und Entladungen durch die Staplerfahrer ermöglichen und so eine transparente und lückenlose Bestandskontrolle gewährleisten.;"Technische Konzeption & Architektur: Entwicklung der Systemarchitektur als Solution Architekt.
Projektleitung: Verantwortung für Zeit, Budget und Steuerung des Entwicklerteams.
Technische Leitung: Sicherstellung der technischen Umsetzung und Code-Qualität.
UI/UX-Design: Entwurf einer intuitiven Benutzeroberfläche für Staplerfahrer.
Steuerung des Nearshor Teams zur Umsetzung der Android-App zur Erfassung von Be- und Entladungen.
Stakeholder-Management: Abstimmung der Anforderungen und Feature-Priorisierung mit Kverneland.";Schulung der Mitarbeitenden bei dem Kunden vor Ort;"Erfolgreiche Produktivsetzung der Android-App 
Umsetzung innerhalb der vorgegebenen Zeit und des Budgets trotz technischer Herausforderungen.
Ausweitung der Anwender bei weiteren Lieferanten ";"Technische Schwierigkeiten durch unzureichende WLAN-Abdeckung, gelöst durch die Integration eines lokalen Caches.
Installation der Endgeräte in den Gabelstapler ";German;Logistik, Prozessoptimierung, Mobile Apps, Java, MySQL, Nearshore-Teamführung, Produktion, Produktionssoftware, Android
Entwicklung einer iBeacon-basierten App für Messestände;2;04/2017 – 05/2017;Elektrowerkzeuge;Bosch Power Tools;Remote;;App;Projektleitung, Solution Architect, Technical Lead;4;Small;iBeacon SDK (Estimote), Xcode, Android Studio, Balsamiq Mockup, Slack;Objective-C, Java, HTML, CSS, JavaScript, ortsbasierte Technologien, Nearshore;Die Aufgabe war die Entwicklung einer iBeacon-basierten App für den Messestand von Bosch Power Tools. Ziel war es, den Besuchern relevante Zusatzinformationen basierend auf ihrer Position am Messestand bereitzustellen. Dies erforderte die Integration ortsbasierter Inhalts-Filter in die App.;"Leitung des Projekts sowie Verantwortung für Budget und Team.
Technische Konzeption und Entwicklung der ortsbasierten Benachrichtigungslogik.
Erstellung von Mockups mit Balsamiq zur Visualisierung der App.
Implementierung von iBeacon-Technologie zur Lokalisierung und Inhaltsfilterung.
Kommunikation und Koordination mit dem Team
Aufbau von Experimenten zur optimalen Kalibrierung der iBeacon-Lösung.
Technischer Ansprechpartner und Gesicht des Projekts gegenüber dem Kunden.";Konzeption einer White-Label Version der App für zukünftige Kunden und Konfigurationen;"Erfolgreiche Fertigstellung der App innerhalb des Zeit-, Budget- und Qualitätsrahmens.
Erfolgreicher Einsatz auf einer internen Messe des Kunden, mit positiven Rückmeldungen sowohl vom Kunden als auch von den Messebesuchern";"Feinabstimmung der iBeacon-Konfiguration für zuverlässige und präzise Lokalisierung.
Sicherstellung der nahtlosen Integration von Benachrichtigungen und Inhalten in die Benutzeroberfläche.";"German,
English";Elektrowerkzeuge, iBeacon, Mobile Apps, Objective-C, Java, Proximity Marketing, HTML, CSS, JavaScript, Teamführung, Benachrichtigungssysteme, Messeanwendungen, Innovationsprojekte
Entwicklung einer App zur Erfassung und Koordination von Lieferaufträgen;3;05/2016 – 07/2016;Logistik;conceito GmbH;Hybrid;;App;Project Management, Solution Architect, Technical Lead;5;Small;Xamarin, Visual Studio, Git, PowerPoint, Balsamiq Mockup, Xcode, Slack;Mobile App Entwicklung, Xamarin, GPS-Tracking, Energieeffizienz, Cross-Platform-Design (iOS & Windows Phone), Nearshore;Die conceito GmbH benötigte eine digitale Lösung zur effizienten Erfassung und Koordination von Lieferaufträgen in der Logistik. Ziel war die Entwicklung einer App, die Lieferanten in Echtzeit erfasst und Disponenten eine zentrale Übersicht bietet. Eine wesentliche Herausforderung bestand darin, die GPS-Standorterfassung energieeffizient zu gestalten, da die Akkulaufzeit der mobilen Geräte eine entscheidende Rolle spielte. Die Benutzeroberfläche musste sowohl für iPhones als auch für Windows Phones intuitiv und plattformgerecht sein, um eine optimale Nutzererfahrung zu gewährleisten.;"Konzeption und Entwicklung der App mit Xamarin zur Bereitstellung einer plattformübergreifenden Lösung (iOS & Windows Phone).
Entwicklung einer energieeffizienten GPS-Erfassung zur Reduzierung des Akkuverbrauchs der Endgeräte.
Leitung des Nearshore-Entwicklungsteams und Steuerung der technischen Umsetzung.
Entwurf und Optimierung der Benutzeroberfläche (UI/UX) für plattformnahe Designs auf iPhones und Windows Phones.
Abstimmung der Anforderungen und Kommunikation mit dem Kunden als Hauptansprechpartner.";Umsetzung der energieeffizienten GPS-Erfassung, die den Akkuverbrauch signifikant optimierte.;"Entwicklung einer App im POC-Status, die für die iOS- und Windows Phone-Plattformen bereitgestellt wurde.
Die Lösung wurde erfolgreich an die conceito GmbH übergeben, die die App in die interne Weiterentwicklung überführte.";"Sicherstellung der Energieeffizienz der GPS-Erfassung auf mobilen Geräten.
Plattformübergreifendes Design der Benutzeroberfläche für iPhones und Windows Phones, das sowohl intuitiv als auch benutzerfreundlich war.";English, German;Logistik, Mobile Apps, Xamarin, GPS-Tracking, Energieeffizienz, Nearshore-Teamführung, Benutzerfreundlichkeit, iOS, Windows Phone, Cross-Platform-Entwicklung, POC
Entwicklung einer White-Label-Lösung für ortsbasierte Inhalte und Indoor-Navigation;5;08/2016 – 12/2016;Softwareentwicklung (Inhouse-Produkt);Inhouse-Projekt (inloop GmbH);Hybrid;;App;Technischer Lead, Produktentwickler, Teamkoordinator;5;Medium;Xcode, Android Studio, Balsamiq Mockup, iBeacon SDK (Estimote), Git, Slack, Jira;iBeacon-Technologie, Swift, White-Label-Lösungen, Indoor-Navigation, Mobile App Entwicklung, Nearshore;Zur Erweiterung des Portfolios der inloop GmbH wurde ein Inhouse-Produkt entwickelt, das ortsbasierte Inhalte für Nutzer auf iOS- und Android-Geräten bereitstellt. Basierend auf der iBeacon-Technologie sollten den Nutzern relevante Informationen in Abhängigkeit von ihrem Standort präsentiert werden. Als zusätzlicher Proof-of-Concept wurde eine Indoor-Navigationsfunktion entwickelt, die eine Positionsbestimmung und Navigation innerhalb von Gebäuden ermöglicht. Ziel war die Schaffung einer White-Label-Lösung, die an die Bedürfnisse verschiedener Kunden angepasst werden kann.;"Produktgestaltung und Konzeption
Technische Leitung des Projekts sowie Koordination des Entwicklungsteams.
Entwicklung der White-Label-Lösung mit nativer Unterstützung für iOS und Android.
Implementierung der iBeacon-Integration zur Positionsbestimmung und ortsbasierten Inhaltsanzeige.
Entwicklung des Proof-of-Concepts (POC) für eine Indoor-Navigation.";"Konzeption und POC einer Indoor Navigationslösung basierend auf iBeacons
Implementierung eines Ablegers für die Messe „Automechanika“";"Bereitstellung einer plattformübergreifenden White-Label-Lösung, die flexibel an Kundenanforderungen angepasst werden kann.
Marketing und Vertriebsmaterial 
Vertrieb über die AppStores
Mehrfache Ableger für kundenspezifische Anwendungsfälle
Gewinn des Innovation Awards auf der Automechanika ";"Sicherstellung der Präzision der iBeacon-Lokalisierung für Indoor-Navigation.
Entwicklung einer skalierbaren Architektur für die White-Label-Anpassungen.";English;iBeacon, Mobile Apps, White-Label, Indoor-Navigation, Produktentwicklung, iOS, Android, Plattformübergreifende Entwicklung, Nearshore-Teamführung, POC
Entwicklung der iOS-App “myMoney” – Haushaltsbuch für effiziente Finanzverwaltung;5;10/2016 – Heute;Fintech, Personal Finance;Eigenentwicklung;Remote;;App;Produktentwickler, Technical Lead, UI/UX-Designer, Entwickler, Marketing & Sales, Support;1;Small;Xcode, App Store Connect, Photoshop, Pixelmator, Deepl, Git, Jekyll (für die Website);Swift, UIKit, CoreData, CoreGraphics, Datenvisualisierung, CSV-Export, Mobile Marketing, Customer Support;Mit dem Ziel, die persönliche Finanzverwaltung für Nutzer zu vereinfachen, wurde die App myMoney entwickelt. Die App fokussiert sich auf die schnelle und intuitive Erfassung von Einnahmen und Ausgaben, gepaart mit umfassenden Analysemöglichkeiten. Dabei steht eine nutzerzentrierte Bedienung im Vordergrund, da sich viele Menschen nur ungern mit der manuellen Erfassung von Ausgaben beschäftigen. myMoney bietet budgetbasiertes Tracking, visuelle Analysen und eine plattformübergreifende Datensynchronisation per iCloud.;"Produktentwicklung und Konzeption der Funktionalitäten.
Design der Benutzeroberfläche (UI/UX) mit Fokus auf eine effiziente und intuitive Nutzererfahrung.
Entwicklung der gesamten App mit Swift, UIKit, CoreData und CloudKit.
Technische Architektur der App sowie Integration von iCloud-Synchronisation.
Implementierung von Berichts- und Analysetools mit Diagrammen und CSV-Export.
Entwicklung der zugehörigen Website mit Jekyll zur Vermarktung der App.
Kundenbetreuung und technischer Support.";"Aufbau der Website als Marketing-Plattform mit Informationsseite zu den App-Funktionen.
Durchführung von App-Store-Optimierung (ASO) zur Steigerung der Sichtbarkeit.
Einrichtung der Support-Prozesse für Benutzeranfragen und Fehlerbehebung innerhalb von 24 Stunden.";"Veröffentlichung der App im Apple App Store mit positiver Resonanz von Nutzern.
Mehrfache Erwähnung in einschlägigen Magazinen
Etablierung einer effizienten und intuitiven Lösung zur Finanzverwaltung mit CSV-Export und Filterfunktionen.";Optimierung der Nutzererfahrung (UX) für eine schnelle und einfache Erfassung von Einnahmen und Ausgaben.;German, English;Haushaltsbuch, Mobile Apps, Swift, UI/UX-Design, Produktentwicklung, Mobile Marketing, Customer Support, Datenvisualisierung, CSV-Export
Entwicklung einer iOS-OCR-App zur Erfassung von FIN und Nummernschildern;2;02/2017 – 04/2017;Automotive - Aftersales;Daimler AG;Hybrid;;App;Projektleitung, Technischer Lead;6;Medium;Xcode, MicroBlink, LeadTools, Tesseract-OCR, Abby Mobile OCR Engine, Scanbot, BlinkOCR;Swift, OCR-Technologie, Bildverarbeitung, Scrum, Nearshore;Im Aftersales-Bereich der Daimler AG ist die Erfassung von Nummernschildern und Fahrzeugidentifikationsnummern (FIN) ein zentraler Bestandteil der Fahrzeugannahme in Werkstätten. Der manuelle Prozess ist zeitaufwendig, fehleranfällig und erhöht den Verwaltungsaufwand. Ziel des Projekts war es, eine mobile iOS-App zu entwickeln, die mithilfe von OCR (Optical Character Recognition) diese Daten automatisch erfasst und direkt in die Werkstattsysteme überträgt. Dies sollte die Fahrzeugannahme beschleunigen, Fehler reduzieren und die Effizienz des Prozesses steigern.;"Konzeption und Entwicklung der iOS-App zur automatisierten Erfassung von FIN und Nummernschildern.
Integration und Vergleich verschiedener OCR-Bibliotheken wie MicroBlink, LeadTools, Tesseract-OCR, Abby Mobile OCR Engine, Scanbot und BlinkOCR zur Identifizierung der optimalen Lösung.
Technische Umsetzung und Abstimmung der API-Anbindung für den Datentransfer in die Werkstattsysteme.
Durchführung von Tests zur Sicherstellung der Erkennungsgenauigkeit der FIN und Nummernschilder.";UX Design zur Optimierung der FIN Erkennung und zur Reduktion von Erfassungsfehlern.;"Entwicklung einer funktionalen iOS-App zur automatisierten Erfassung von FIN und Nummernschildern.
Reduktion der Erfassungszeit bei der Fahrzeugannahme und Steigerung der Genauigkeit der Fahrzeugidentifikation.	
Übergabe der Lösung zur weiteren internen Nutzung durch die Daimler AG.";"Sicherstellung der Erkennungsgenauigkeit bei unterschiedlichen Lichtverhältnissen und verschiedenen FIN-Formaten.
Vergleich und Auswahl der optimalen OCR-Bibliotheken unter Berücksichtigung von Geschwindigkeit und Genauigkeit.";English;Automotive, OCR, Mobile Apps, FIN-Erkennung, iOS, Bildverarbeitung, LeadTools, Tesseract, ABBY, MicroBlink, Agile Entwicklung, Fahrzeugannahme, Prozessautomatisierun
